updates,tokens,loss,lr,mask_rate,seq_len,walk_len,seconds
50,932474,9.508572578430176,1.398711e-06,0.6999847836141881,18.495229783604735,2.5904754348731576,5.3184638023376465
100,1861978,9.417035102844238,2.792967e-06,0.6999393281637315,18.436321082174665,2.585120098379515,10.35358214378357
150,2794903,9.263967514038086,4.1923544999999996e-06,0.6998632990513602,18.50417517900708,2.5912886526370076,15.40244436264038
200,3725001,9.052759170532227,5.587501499999999e-06,0.6997571764321249,18.44810282246068,2.5861911656782435,20.417601108551025
250,4650273,8.806897163391113,6.9754094999999995e-06,0.6996215618179457,18.447882606268443,2.586171146024404,76.49050617218018
300,5581658,8.532110214233398,8.372487e-06,0.6994547891444931,18.47362992641371,2.5885118114921557,81.52678203582764
350,6509611,8.202873229980469,9.7644165e-06,0.6992584368810019,18.405557649205626,2.582323422655057,86.55090618133545
400,7443416,7.954343318939209,1.1165123999999998e-05,0.6990304222693915,18.521629609060437,2.592875419005494,91.56543278694153
450,8370954,7.714337348937988,1.2556430999999997e-05,0.698773724759773,18.493061647659303,2.5902783316053912,159.12928128242493
500,9302779,7.487523078918457,1.3954168499999998e-05,0.6984855203003503,18.48235714144039,2.589305194676399,164.1401789188385
550,10233570,7.283321380615234,1.5350354999999998e-05,0.6981672957884641,18.461848186127696,2.587440744193427,169.15108036994934
600,11167122,7.111088752746582,1.6750683e-05,0.6978176692591496,18.516611460420098,2.5924192236745545,174.15997886657715
650,12095966,6.893184185028076,1.8143948999999998e-05,0.6974395331142197,18.423230259634646,2.5839300236031497,179.16753602027893
700,13024637,6.679296493530273,1.9536955499999998e-05,0.697031279542819,18.515651168354733,2.592331924395885,228.98808693885803
750,13954383,6.448873519897461,2.0931574499999998e-05,0.6965923159140629,18.441121050439335,2.585556459130849,233.9752607345581
800,14885086,6.169368267059326,2.2327629e-05,0.6961225987585204,18.46010274312236,2.587282067556578,238.9667625427246
850,15813292,5.916906833648682,2.3719937999999997e-05,0.6956239464321479,18.410575797845965,2.582779617985997,243.96510982513428
900,16743173,5.644968509674072,2.5114759499999995e-05,0.6950941577631112,18.539775899194513,2.5945250817449557,294.60246658325195
950,17673403,5.346266746520996,2.6510104499999998e-05,0.6945338894619928,18.45072098696868,2.5864291806335165,299.59332823753357
1000,18602005,4.980515956878662,2.7903007499999997e-05,0.6939443946746495,18.418430291369976,2.583493662851816,304.60711884498596
1050,19533555,4.72255277633667,2.93003325e-05,0.6933227040085845,18.476902632048713,2.5888093301862467,309.6270866394043
1100,20466777,4.336610794067383,3.07001655e-05,0.6926694431865646,18.510066049150087,2.5918241862863716,359.74559807777405
1150,21393072,4.019944190979004,3.2089608e-05,0.6919908882320492,18.4682789696148,2.588025360874073,364.7238070964813
1200,22325062,3.6867542266845703,3.3487592999999995e-05,0.6912778531171827,18.48562984707539,2.58960271337049,369.7116723060608
1250,23258218,3.321620225906372,3.4887326999999994e-05,0.6905334676706283,18.508756966896087,2.591705178808735,374.69784474372864
1300,24192243,3.0317976474761963,3.6288364499999996e-05,0.6897578691260066,18.525993216573774,2.5932721105976158,379.6844027042389
1350,25119198,2.717066764831543,3.7678796999999994e-05,0.6889579531071439,18.48143791370923,2.5892216285190206,427.97510981559753
1400,26048086,2.4500350952148438,3.9072128999999994e-05,0.6881262012753905,18.424102981137313,2.584009361921574,432.96980261802673
1450,26980274,2.155099868774414,4.0470410999999995e-05,0.6872611342604862,18.489557093837398,2.5899597358034,437.96619725227356
1500,27915212,1.8938405513763428,4.1872818e-05,0.6863629664324135,18.54410218775413,2.594918380704921,442.97765254974365
1550,28842640,1.7179951667785645,4.3263959999999995e-05,0.685441787062032,18.49086849031023,2.5900789536645665,485.28904128074646
1600,29778579,1.6515884399414062,4.46678685e-05,0.6844816340729633,18.56395660193982,2.596723327449075,490.2673168182373
1650,30707016,1.5118556022644043,4.6060523999999996e-05,0.6834988854465754,18.41515758573497,2.5831961441577245,495.2714388370514
1700,31637411,1.4984781742095947,4.7456116499999996e-05,0.6824837989412988,18.453993692603685,2.586726699327608,500.26691150665283
1750,32568807,1.389830231666565,4.8853210499999994e-05,0.6814372741854431,18.473848106789376,2.5885316460717616,540.37495470047
1800,33495806,1.3571242094039917,5.0243709e-05,0.6803655421571814,18.482315176648857,2.5893013796953506,545.3488261699677
1850,34427862,1.319886326789856,5.1641793e-05,0.6792576405669066,18.486938929329394,2.589721720848127,550.387934923172
1900,35361007,1.3197733163833618,5.3041510499999996e-05,0.6781179857190541,18.50853878652042,2.5916853442291288,555.3943955898285
1950,36290621,1.225551962852478,5.4435931499999994e-05,0.6769523394801013,18.43850288593133,2.5853184441755754,560.3899357318878
2000,37217004,1.1097445487976074,5.5825506e-05,0.6757606557321197,18.470033495494057,2.5881848632267324,600.9828181266785
2050,38146288,1.1578892469406128,5.7219432e-05,0.6745350624568685,18.431957474661324,2.584723406787393,606.0217521190643
2100,39081666,1.1248949766159058,5.8622499e-05,0.6732709091966277,18.55282940278081,2.5957117638891645,611.0369691848755
2150,40015229,1.1389639377593994,6.00228435e-05,0.6719786753413572,18.516829640795763,2.5924390582541603,616.0360615253448
2200,40947637,1.1009382009506226,6.142145549999999e-05,0.6706575929220341,18.493920701350735,2.5903564273955215,658.657436132431
2250,41876902,1.0111068487167358,6.2815353e-05,0.6693106888804419,18.527494218039717,2.593408565276338,663.6438837051392
2300,42808793,0.9891716837882996,6.42131895e-05,0.6679296267329551,18.48366622369439,2.5894242021540355,668.6607625484467
2350,43737967,0.9709452986717224,6.560695049999999e-05,0.6665223292473709,18.429775670904654,2.584525060991332,673.6625831127167
2400,44671684,0.9722817540168762,6.7007526e-05,0.6650777113505725,18.5198841660551,2.5927167423686455,728.759259223938
2450,45597935,1.0329980850219727,6.83969025e-05,0.663614495665376,18.467401706675172,2.587945609697743,733.7554271221161
2500,46531003,1.0092849731445312,6.97965045e-05,0.6621101507967447,18.50701152389075,2.5915465021718864,738.8002524375916
2550,47463389,0.9301052093505859,7.119508349999999e-05,0.6605764673311069,18.4934843405994,2.5903167582363094,743.8407199382782
2600,48392288,0.9509538412094116,7.2588432e-05,0.6590182630871885,18.42432116151298,2.5840291965011803,748.8871328830719
2650,49326995,0.9577282071113586,7.399049249999999e-05,0.6574198323747245,18.539520399865125,2.5945018545331933,794.6888597011566
2700,50256183,0.9835484027862549,7.53842745e-05,0.6558005312297339,18.525959007895366,2.593269000717761,799.7117557525635
2750,51188151,0.9515727162361145,7.67822265e-05,0.654146030951021,18.485193486324057,2.589563044211278,804.7394683361053
2800,52120592,0.9845170378684998,7.818088799999999e-05,0.6524602680674668,18.494575242477737,2.5904159311343395,809.7511539459229
2850,53048622,0.9441190958023071,7.957293299999999e-05,0.6507522648182694,18.407084911835295,2.5824622647122997,851.0482504367828
2900,53970539,0.9395152926445007,8.09558085e-05,0.6490256661008659,18.38099130712178,2.5800901188292524,856.0202851295471
2950,54906786,0.8619645237922668,8.2360179e-05,0.6472417848951285,18.570065652458496,2.597278695678045,861.0118451118469
3000,55842230,0.8672827482223511,8.3763345e-05,0.6454287936009743,18.55413848503481,2.595830771366801,866.0077855587006
3050,56773538,0.9193559885025024,8.5160307e-05,0.6435933942018447,18.472102663784042,2.588372969434913,908.1615328788757
3100,57698315,0.870859682559967,8.654747249999998e-05,0.6417408278078136,18.438013398197622,2.5852739452906928,913.1547667980194
3150,58629524,0.8421112895011902,8.794428599999999e-05,0.6398451310218348,18.470139040403037,2.588194458218458,918.1225385665894
