updates,tokens,loss,lr,mask_rate,seq_len,walk_len,seconds
50,1378986,9.4802827835083,2.068479e-06,0.6999667219582065,27.351607592677073,3.39560069024337,5.425092935562134
100,2749733,9.33936882019043,4.1245995e-06,0.6998676819475024,27.188190491302535,3.3807445901184123,10.524760484695435
150,4122053,9.112202644348145,6.183079499999999e-06,0.6997026518836408,27.219390285022907,3.3835809350020827,15.61643934249878
200,5495473,8.817399978637695,8.243209499999999e-06,0.6994714960888597,27.241208322589603,3.385564392962691,20.687830686569214
250,6866014,8.451273918151855,1.0299021e-05,0.6991750124056565,27.325564239572532,3.393233112688412,37.192950963974
300,8243295,8.096853256225586,1.23649425e-05,0.698810841532002,27.317789634448697,3.3925263304044275,42.261733055114746
350,9617144,7.756930828094482,1.4425715999999997e-05,0.698381434472457,27.249717357240613,3.3863379415673283,47.350512742996216
400,10993094,7.472080230712891,1.6489640999999998e-05,0.6978851579753753,27.291389808993,3.390126346272091,52.43037486076355
450,12359026,7.227936267852783,1.8538539e-05,0.6973269533357981,27.233670946646463,3.38487917696786,67.59052991867065
500,13729531,6.981529712677002,2.05942965e-05,0.6967012496241006,27.183390523037865,3.3803082293670785,72.65013885498047
550,15104282,6.701594352722168,2.2656423e-05,0.6960075616421283,27.2676081480453,3.387964377095027,77.74609136581421
600,16479891,6.431670188903809,2.4719836499999997e-05,0.695247230870992,27.284626217347324,3.389511474304302,82.82900905609131
650,17855258,6.106905460357666,2.6782886999999995e-05,0.6944208208306851,27.27982624908265,3.389075113552968,87.89297676086426
700,19222961,5.807024002075195,2.88344415e-05,0.6935333609818684,27.268980779966505,3.3880891618151368,102.93993616104126
750,20597844,5.435716152191162,3.0896766e-05,0.6925752543946541,27.270226312553305,3.3882023920503004,108.02544856071472
800,21971671,5.056458473205566,3.295750649999999e-05,0.6915517992856858,27.24928099648928,3.386298272408116,113.12265467643738
850,23348237,4.673152923583984,3.50223555e-05,0.690460047007357,27.303607910030347,3.391237082730032,118.19982600212097
900,24716380,4.252054214477539,3.707457e-05,0.689309259794673,27.277753409362788,3.388886673578435,133.4577260017395
950,26092022,3.818026065826416,3.9138032999999994e-05,0.6880861117891515,27.285280758474325,3.3895709780431207,138.5236415863037
1000,27468632,3.4196550846099854,4.1202947999999996e-05,0.68679579948085,27.304480631533014,3.3913164210484554,143.60534691810608
1050,28841876,2.974963665008545,4.3262814e-05,0.6854425583040109,27.237717436578933,3.385247039688994,148.6870472431183
1100,30217859,2.583125352859497,4.532678849999999e-05,0.684020417455482,27.292044350119998,3.3901858500109086,163.76095294952393
1150,31581470,2.19063663482666,4.7372204999999994e-05,0.6825456881711842,27.18739532658107,3.380672302416461,168.79989171028137
1200,32959818,1.8630892038345337,4.9439726999999994e-05,0.6809888819546203,27.33895313088839,3.3944502846262172,173.88382124900818
1250,34340421,1.6619515419006348,5.15106315e-05,0.6793628709969982,27.383680107900112,3.3985163734454646,178.955148935318
1300,35714303,1.4436520338058472,5.35714545e-05,0.6776785498214233,27.250371898367614,3.386397445306147,184.00533437728882
1350,37078376,1.3117492198944092,5.5617563999999996e-05,0.6759408955810459,27.196606587447164,3.381509689767924,199.0868570804596
1400,38453589,1.2798340320587158,5.7680383499999996e-05,0.6741231261278339,27.276771723823312,3.3887974294384833,204.15802526474
1450,39827559,1.1776196956634521,5.974133849999999e-05,0.6722408970217766,27.252117341372948,3.3865561219429954,209.22764015197754
1500,41204873,1.1323862075805664,6.18073095e-05,0.6702877727184428,27.3184441755757,3.3925858341432455,214.28512477874756
1550,42572466,1.0772995948791504,6.3858699e-05,0.6682827399268798,27.266787622617432,3.3878897838743116,229.3718400001526
1600,43948999,1.0370663404464722,6.59234985e-05,0.6661984960207149,27.302953368903346,3.391177578991213,234.40122389793396
