,val_auc,val_ap,te_auc,te_ap
0,0.8987992430026491,0.8988196827616672,0.8476460268936656,0.0019841255917379557
1,0.9168297625947307,0.9125561720931975,0.8975711339056587,0.0015564266210461837
2,0.9293054936701692,0.9227206293585603,0.8807440313926357,0.00204298432165328
3,0.9311056987523552,0.9253278989852494,0.9187674997857003,0.002601250222288038
4,0.9154254654457511,0.9138928940680182,0.9438814383280667,0.004777370016860938
5,0.9327371971120851,0.9289047959327242,0.9094601648268708,0.0023775180992821683
6,0.9145721908611935,0.9117640231423164,0.8554946053016623,0.0013332712408371198
7,0.9175488963913654,0.9112791439193983,0.9380184425810818,0.00640857673297888
8,0.92249934904349,0.9162055821667556,0.9173975621419034,0.0046874805914675355
9,0.9364062436087927,0.9301547008363946,0.9316620492940062,0.018414063585358707
mean,0.9215229540482582,0.9171625523264282,0.9040642954451252,0.004618306702351081
sem,0.003219684515825337,0.0027589292813439913,0.009558923630399561,0.0014659327605617846
