,val_auc,val_ap,te_auc,te_ap
0,0.8175177469362473,0.7890179682430992,0.8415687517724775,0.1324846449629128
1,0.8710987168001525,0.8450936243949594,0.9086332691150328,0.2768109946031707
2,0.8365955827796158,0.7966166780596077,0.9285305569565521,0.37003071577532487
3,0.8184293450171269,0.7881907314803361,0.8490988903901076,0.09224971878258312
4,0.8312203145397197,0.8070589466364725,0.8839531434059599,0.16051431723459303
5,0.8291551944723143,0.7885292199862421,0.8569266164049821,0.28148577088345067
6,0.8525020896599781,0.8266866624179211,0.8485598030481043,0.11360394505612864
7,0.8392543796392633,0.8050693905083391,0.8973013019434196,0.1856094467553683
8,0.8454853469270116,0.8294717632320038,0.870783474923369,0.0936669415771468
9,0.8492160523615386,0.8178254275475645,0.8189687489360746,0.15998116824680797
mean,0.8390474769132968,0.8093560412506544,0.8704324556896079,0.18664376638774868
sem,0.004677769118127518,0.005669059150894197,0.009694012575905844,0.026624249412396328
