epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.32141229565344853,0.005204360603121974,0.27995652330474735,0.4095005352102649
1,863,0.9674607656500471,0.4649435240029275,0.995345601547621,0.9968893003834032
2,1726,0.968978350243584,0.3168494190420591,0.9956661133716642,0.9971276855576067
3,2589,0.9718729582571448,0.5043159859782961,0.9957989544651574,0.9972242919869222
4,3452,0.9736792057475433,0.2964041356929668,0.995830401761819,0.9972559891062548
5,4315,0.9706782078579577,0.30987978017351964,0.9958916551381788,0.9972812188368738
6,5178,0.9725186579669237,0.3359207284554273,0.9959256225355689,0.9972991735237872
7,6041,0.974930255786726,0.37780065650857986,0.9959181511402134,0.9972954643574315
8,6904,0.9741924564433411,0.49105810904360664,0.9959453217117784,0.9973074563260954
9,7767,0.9725542856945982,0.5481035644568057,0.9959766940793641,0.9973241859709133
10,8630,0.9718081784349358,0.4107899286323924,0.9959842467431487,0.9973279081544619
# BEST (by va_auc, epoch 10): TEST AUC 0.9718 AP 0.4108 | VAL AUC 0.9960 AP 0.9973
