epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.3945076608227797,0.005255183993250622,0.3588669442389652,0.40014155752806413
1,863,0.9637437052460929,0.40717301124690314,0.9956443096341296,0.9970877617811461
2,1726,0.9673719390692253,0.49574435065854316,0.9959987915056204,0.9973401246687342
3,2589,0.9769505202118056,0.7065939759385041,0.9960650782244649,0.9973935910349413
4,3452,0.9720241451068018,0.30684084910002074,0.9961889517313333,0.9974553438617192
5,4315,0.9705031230248145,0.5576171877262677,0.996187933173951,0.9974592209558341
6,5178,0.9722989327655448,0.6666290133738627,0.9962515999212738,0.9974957425049876
7,6041,0.9755975043990456,0.6949700736716681,0.9962487152557767,0.9974911347590435
8,6904,0.9720360862682751,0.6888813764287218,0.9963292549709619,0.9975328708056328
9,7767,0.97146618357034,0.6841482444684984,0.9963368519062947,0.9975375351850383
10,8630,0.9725216882813434,0.6848371176492242,0.9963370481664332,0.9975374639813582
# BEST (by va_auc, epoch 10): TEST AUC 0.9725 AP 0.6848 | VAL AUC 0.9963 AP 0.9975
