epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.13477909086182455,0.0038662670008252843,0.41750037240789944,0.4145339796564154
1,863,0.9665255730348059,0.3771028497640745,0.9959330810443705,0.9972625758323201
2,1726,0.9694373763208882,0.37098759567886663,0.9962068517263694,0.997473878339954
3,2589,0.9660258373847149,0.2809775019811871,0.9962718496339318,0.9975111556478015
4,3452,0.9681378020996398,0.2782962744715997,0.9963154288417212,0.997546772055474
5,4315,0.9670184571988055,0.2679269078910905,0.9963171611998768,0.99755362886657
6,5178,0.9659397200772503,0.31179474491664866,0.9963686754071931,0.9975837988119267
7,6041,0.9659463444855169,0.30269175084620514,0.9963507341543995,0.9975793819088128
8,6904,0.9647767605735266,0.29239557910121894,0.9963926436700982,0.9976016872596163
9,7767,0.9644890686301225,0.24774329618844443,0.9964197609807043,0.9976152069917187
10,8630,0.9660871640579339,0.32786950210826254,0.996444394356072,0.9976276653568766
# BEST (by va_auc, epoch 10): TEST AUC 0.9661 AP 0.3279 | VAL AUC 0.9964 AP 0.9976
