epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.533607016924032,0.007808749603684623,0.5112717868597862,0.48181749105412447
1,863,0.9744981580073279,0.6292203531685546,0.9933903476299619,0.9957610574362126
2,1726,0.9680190247367619,0.3806409613818316,0.9946012293995293,0.9964513672709725
3,2589,0.9703939299121945,0.5975448428384662,0.9954287296934478,0.9969747389224085
4,3452,0.971281851188541,0.5845630429573405,0.9958397224296303,0.9972479175502174
5,4315,0.9720704298316993,0.6793017350904944,0.9959600810769431,0.9973197988118468
6,5178,0.9693224592810309,0.6105168167252657,0.9960860787347771,0.997397351005941
7,6041,0.9731210249635266,0.6665710539906445,0.9961315441079791,0.9974387024650634
8,6904,0.9757291703860448,0.6697928180153084,0.9962449435484945,0.9974982252225406
9,7767,0.9711526595668044,0.6811163691467922,0.996214357000891,0.9974961928721797
10,8630,0.9730713888831467,0.6678570298661068,0.9962506673608545,0.9975081282358955
# BEST (by va_auc, epoch 10): TEST AUC 0.9731 AP 0.6679 | VAL AUC 0.9963 AP 0.9975
