epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.3248795469593809,0.004788731406417046,0.32844584980379904,0.3837214880853529
1,863,0.9845424835987169,0.7560806375930595,0.9934920477942216,0.995768201871552
2,1726,0.9647038294404364,0.375588763179292,0.99562808764509,0.9970871159308139
3,2589,0.9681385224844632,0.27756916716653146,0.9958267830304033,0.9972037647209127
4,3452,0.9683798279094621,0.2848501552494384,0.9955341432117636,0.9970578454797986
5,4315,0.9704320789867505,0.28451909074173726,0.9958933235831837,0.9972718067694549
6,5178,0.975144452817613,0.26668202771661687,0.9959078215279735,0.9972792957567002
7,6041,0.9702710573182015,0.32266133063362046,0.9959388802015017,0.9972991164173199
8,6904,0.9718267909862945,0.3361756355759895,0.9959751142813796,0.9973209668059546
9,7767,0.9702308723734926,0.38763981918374096,0.9959943738078589,0.9973245362442869
10,8630,0.9691600203336447,0.30407510980770586,0.995971969702403,0.99731887491008
# BEST (by va_auc, epoch 9): TEST AUC 0.9702 AP 0.3876 | VAL AUC 0.9960 AP 0.9973
