epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.34735787120646916,0.006499188740411617,0.28522002416395975,0.41036792710640274
1,863,0.9716121319694883,0.40947057227731093,0.9944365140903125,0.9963026935856838
2,1726,0.9664553276842635,0.29688312486701635,0.9959236805111019,0.9972915690288015
3,2589,0.9691214875758675,0.499406481429135,0.9957756208130731,0.9972564037501721
4,3452,0.9728228091374864,0.43484510776032814,0.9960840163665238,0.9974163109899783
5,4315,0.966290093330552,0.30662885337226065,0.9961153054911279,0.9974286688541232
6,5178,0.9672389889179758,0.33567886262824087,0.9962216323959178,0.9974779684633869
7,6041,0.971537564310006,0.41692563207091327,0.9961961751644488,0.9974673206531911
8,6904,0.9675623007587845,0.3210542074551857,0.9962924145475428,0.9975132740950791
9,7767,0.9656092748606369,0.35011760860169994,0.996267517465476,0.9975051573984348
10,8630,0.9672672561920208,0.32770218616168145,0.996330509799154,0.9975323990066224
# BEST (by va_auc, epoch 10): TEST AUC 0.9673 AP 0.3277 | VAL AUC 0.9963 AP 0.9975
