epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.5023261930668912,0.006383128326132397,0.4409064182425227,0.4264038876926865
1,863,0.9665171241736716,0.3919208605690632,0.9956878557421817,0.9970980337630685
2,1726,0.9667370842831451,0.46336614634334405,0.9960273726352253,0.9973410184666281
3,2589,0.9643980574040213,0.31997236502940474,0.9961149353144729,0.9973938302032659
4,3452,0.9670636456859285,0.31346167927499785,0.9961104888298126,0.9974035084793642
5,4315,0.9611006994623423,0.28755815982268074,0.9961798421328051,0.9974428168997195
6,5178,0.9619935694692142,0.3002639021230892,0.996231332489604,0.9974751330121594
7,6041,0.9616570009816027,0.2815370807348914,0.9962045968911972,0.9974674022550286
8,6904,0.9613866922371958,0.2839729139704247,0.9962418661043071,0.9974879880636138
9,7767,0.9603572701549579,0.26770051540346806,0.996247406335235,0.997492459383354
10,8630,0.9594081396594396,0.24418714250648185,0.9962461026108844,0.9974910896734589
# BEST (by va_auc, epoch 9): TEST AUC 0.9604 AP 0.2677 | VAL AUC 0.9962 AP 0.9975
