epoch,updates,te_auc,te_ap,va_auc,va_ap
0,0,0.30397366617617855,0.004619065738289904,0.37471245806053866,0.39861894604546566
1,863,0.9711489950005293,0.548948002924817,0.9947514600662056,0.9964903864979098
2,1726,0.9701213817106196,0.4953565002456652,0.9959965167170745,0.9973298169631891
3,2589,0.9707172809043523,0.407411103353803,0.996217064528233,0.9974875263492398
4,3452,0.9680689661976648,0.2712873930666953,0.9961374084253468,0.9974778063723762
5,4315,0.9761246538237713,0.49309104519746955,0.9962948585760334,0.9975446056446083
6,5178,0.9695476656712828,0.5519147194350291,0.9963391635358357,0.9975654802904824
7,6041,0.9675052494128864,0.5900873774183217,0.9963100214254382,0.9975626545463973
8,6904,0.9691011758559581,0.6292120514148789,0.9963779763814399,0.9975897750612231
9,7767,0.9685852237170729,0.695652739201029,0.9963812212469051,0.9975947183020631
10,8630,0.9672602637610728,0.7120902086307116,0.9963612305643741,0.9975847002607193
# BEST (by va_auc, epoch 9): TEST AUC 0.9686 AP 0.6957 | VAL AUC 0.9964 AP 0.9976
